      Language  Files   Code  Comment  Blank   Total
         Total    438  87831    20209  13844  116329
        Python    225  64656    13434   8992   82382
             C      3   3351      794    601    4696
         Shell     69   2754      628    335    3641
          Ruby      8   2127      845    624    3393
          Lisp      4   1964      478    187    2536
          Java      4   1755      242    382    2331
            Go     68   1687     1195    579    3457
           C++      2   1500      520    386    2371
       Haskell      5   1120       73    250    1411
          HTML     10   1055       23    219    1295
          Make      3    992      164    196    1346
        Scheme      2    901      447    239    1580
           CSS      6    844      246     83    1049
            ML      1    749      304    189    1213
    JavaScript     10    576      142    110     817
          Rust      1    487       93     32     606
  CoffeeScript      2    320      154    166     630
           PHP      3    270      237    109     526
           Lua      1    167       51     34     250
        MATLAB      1    151        1     28     179
             R      1    133       36     16     185
        Erlang      1    104       33     32     169
      Assembly      2     68       64     18     126
      Markdown      2     61        0     28      89
         Scala      3     31        2      5      37
        Thrift      1      8        3      4      14
