      Language  Files    Code  Comment   Blank    Total
         Total  11611  994643   172454  177569  1320298
            Go   9085  736346   143195  119312   980922
      Markdown   1064   89197        0   31636   120833
        Python    227   64676    13438    8996    82409
           CSS    329   41933     3874    8466    53639
          HTML    491   19355      322    1839    21514
    JavaScript     92   16347     4722    1638    22465
         Shell    112    4998     1691     801     7344
             C     15    3774      890     710     5299
          Perl     28    3182      545     527     4205
          Ruby      8    2127      845     624     3393
          Lisp      4    1964      478     187     2536
          Java      5    1766      242     385     2345
      Assembly     85    1739       64     703     2482
           C++      2    1500      520     386     2371
          Make     28    1180      194     255     1623
       Haskell      5    1120       73     250     1411
        Scheme      2     901      447     239     1580
            ML      1     749      304     189     1213
          Rust      1     487       93      32      606
  CoffeeScript      2     320      154     166      630
           PHP      3     270      237     109      526
           Lua      1     167       51      34      250
        MATLAB      1     151        1      28      179
             R      1     133       36      16      185
        Erlang      1     104       33      32      169
           SQL     12     102        0       0      102
         Scala      3      31        2       5       37
           XML      2      16        0       0       16
        Thrift      1       8        3       4       14
